Pay Period,Facility,Cost Center,Department,Statistic,Target Hours per Statistic,Productive Hours,Actual Statistic,Hours Earned,Hours per UOS, Actual Productive FTEs , Flex Productive FTEs , Flex /Actual Percentage , Actual v Flex Productive FTE Variance , Actual Non-Productive FTEs , Budget Non-Productive FTEs , Actual v Bud Non-Productive FTE Variance , Actual Total FTEs , Premium Pay Percentage , Total Salaries , Budget Cost per UoS , Actual Cost per UoS 
15,12000,4067,Business Office,Calendar Days,11.34,133,13,0, 9.96 ,1.66,1.89,114%,0.23,0.55,0.17,-0.38,2.21,0.00%,"$165,488","$14,164","$12,443"
15,12000,4068,OP Registration and Admin.,Calendar Days,125.45,"1,952",13,0, 146.79 ,24.40,20.86,85%,-3.55,2.16,2.51,0.35,26.56,5.33%,"$2,089,822","$128,015","$157,129"
15,12000,4073,Cashiering,Calendar Days,7.06,76,13,0, 5.71 ,0.95,1.17,124%,0.22,0.00,0.04,0.04,0.95,0.00%,"$71,250","$6,620","$5,357"
15,12000,4098,Executive Office,Calendar Days,12.26,177,13,0, 13.33 ,2.22,2.04,92%,-0.18,0.29,0.17,-0.12,2.51,0.00%,"$187,978","$12,995","$14,134"
15,12000,4099,Administration,Calendar Days,15.20,206,13,0, 15.50 ,2.58,2.53,98%,-0.05,0.18,0.10,-0.08,2.76,0.00%,"$206,766","$15,241","$15,546"
15,12000,4103,Quality Management,Calendar Days,5.53,68,13,0, 5.14 ,0.86,0.92,108%,0.06,0.19,0.06,-0.13,1.05,0.00%,"$78,375","$6,339","$5,893"
15,12000,4108,Marketing,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
15,12000,4109,Development,Calendar Days,18.63,258,13,0, 19.41 ,3.23,3.10,96%,-0.13,0.27,0.32,0.05,3.50,0.08%,"$262,481","$18,928","$19,735"
15,12000,4110,Human Resources,Calendar Days,22.65,279,13,0, 20.96 ,3.49,3.77,108%,0.28,0.79,0.43,-0.36,4.28,0.00%,"$320,644","$26,044","$24,109"
15,12000,4122,Supply Chain Management,Calendar Days,76.32,"1,066",13,0, 80.16 ,13.33,12.69,95%,-0.64,0.42,0.22,-0.20,13.75,8.51%,"$1,116,080","$73,803","$83,916"
15,12000,4123,Stores and Distribution,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
15,12000,4127,Volunteers,Calendar Days,9.87,144,13,0, 10.86 ,1.81,1.64,91%,-0.16,0.10,0.15,0.05,1.91,0.00%,"$142,875","$9,766","$10,742"
15,12000,4131,Risk Management,Calendar Days,3.68,76,13,0, 5.71 ,0.95,0.61,64%,-0.34,0.00,0.44,0.44,0.95,0.00%,"$71,250","$3,449","$5,357"
15,12000,4134,Medical Library,Calendar Days,2.96,53,13,0, 3.96 ,0.66,0.49,75%,-0.17,0.01,0.01,0.00,0.67,0.00%,"$50,175","$2,819","$3,773"
15,12000,4137,Community Services,Calendar Days,23.68,263,13,0, 19.76 ,3.29,3.94,120%,0.65,0.99,0.19,-0.80,4.28,4.87%,"$332,652","$28,888","$25,011"
15,12000,4139,Former Employees,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
15,12000,4159,Transfer Center,Calendar Days,7.29,92,13,0, 6.93 ,1.15,1.21,105%,0.06,0.29,0.00,-0.29,1.44,0.00%,"$108,141","$8,551","$8,131"
15,12000,4205,OR Scheduling,Calendar Days,9.70,152,13,0, 11.43 ,1.90,1.61,85%,-0.29,0.00,0.20,0.20,1.90,0.00%,"$142,500","$9,097","$10,714"
15,12000,4211,Integrative Therapy,Calendar Days,0.00,32,13,0, 2.39 ,0.40,0.00,0%,-0.40,0.00,0.00,0.00,0.40,12.69%,"$33,616",$0,"$2,528"
15,12000,4250,JLL Maintenance,1000 Net Square Feet Maintained,47.32,"1,331",25,"1,167", 53.97 ,16.64,14.59,88%,-2.05,1.88,1.80,-0.08,18.52,8.60%,"$1,496,016","$49,376","$60,666"
15,13000,1039,Oak Unit,Equivalent Patient Days,7.70,"2,756",373,"2,874", 7.38 ,34.45,35.93,104%,1.47,5.04,5.48,0.44,39.49,1.66%,"$3,005,003","$8,273","$8,049"
15,13000,1040,Spruce Unit,Equivalent Patient Days,7.74,"3,025",395,"3,060", 7.66 ,37.82,38.26,101%,0.44,3.83,5.88,2.05,41.65,5.02%,"$3,265,760","$7,995","$8,264"
15,13000,1041,Maple Unit,Equivalent Patient Days,8.93,"2,987",360,"3,214", 8.29 ,37.33,40.18,108%,2.85,7.03,9.23,2.20,44.36,4.16%,"$3,443,500","$9,945","$9,564"
15,13000,1045,Birch Unit,Equivalent Patient Days,8.50,983,135,"1,147", 7.29 ,12.29,14.33,117%,2.05,1.32,1.26,-0.06,13.61,7.81%,"$1,092,501","$8,825","$8,099"
15,13000,1049,One on One Staffing,Total Adult Days,0.88,993,"1,264","1,107", 0.79 ,12.41,13.84,112%,1.43,0.20,0.00,-0.20,12.61,49.65%,"$1,408,144",$835,"$1,114"
15,13000,2016,Clinics, Procedures,0.33,402,904,296, 0.44 ,5.02,3.70,74%,-1.32,0.22,0.97,0.75,5.24,0.00%,"$393,009",$321,$435
15,13000,2020,Day Treatment, Procedures,0.59,"1,052","1,545",908, 0.68 ,13.15,11.34,86%,-1.81,2.38,2.64,0.26,15.53,0.00%,"$1,164,863",$650,$754
15,13000,2025,Assistive Technology, Procedures,0.74,135,151,112, 0.89 ,1.69,1.40,83%,-0.29,0.00,0.08,0.08,1.69,0.00%,"$126,469",$695,$837
15,13000,2035,Horticulture Therapy,Calendar Days,7.66,105,13,0, 7.88 ,1.31,1.27,97%,-0.04,0.19,0.07,-0.12,1.50,0.00%,"$112,444","$8,222","$8,454"
15,13000,2039,I/P Physical Therapy, Procedures,0.53,"2,567","4,816","2,529", 0.53 ,32.09,31.61,98%,-0.48,4.82,4.98,0.16,36.91,3.08%,"$2,842,555",$566,$590
15,13000,2040,Occupational Therapy, Procedures,0.56,"2,399","4,619","2,564", 0.52 ,29.98,32.06,107%,2.07,4.29,2.70,-1.59,34.27,3.09%,"$2,639,894",$595,$572
15,13000,2041,Speech Therapy, Procedures,0.85,592,675,573, 0.88 ,7.40,7.16,97%,-0.23,0.68,0.82,0.14,8.08,10.08%,"$661,526",$869,$979
15,13000,2043,Recreational Therapy, Procedures,0.52,213,385,201, 0.55 ,2.66,2.51,94%,-0.15,0.19,0.16,-0.03,2.85,0.00%,"$213,750",$525,$556
15,13000,2044,Aquatics, Procedures,1.11,75,71,79, 1.05 ,0.94,0.99,105%,0.05,0.01,0.15,0.14,0.95,0.00%,"$71,109","$1,051",$998
15,13000,2052,Neurology, Procedures,1.20,42,26,31, 1.63 ,0.52,0.38,74%,-0.14,0.00,0.00,0.00,0.52,1.14%,"$39,633","$1,125","$1,545"
15,13000,2055,Pharmacy,Total Adult Days,0.48,651,"1,264",609, 0.52 ,8.14,7.62,94%,-0.52,0.46,0.74,0.28,8.60,2.31%,"$659,138",$478,$522
15,13000,2057,General Radiology,Calendar Days,2.03,31,13,0, 2.30 ,0.38,0.34,88%,-0.05,0.00,0.00,0.00,0.38,0.00%,"$28,725","$1,903","$2,160"
15,13000,2103,O/P Physical Therapy, Procedures,0.38,"1,470","3,203","1,215", 0.46 ,18.37,15.19,83%,-3.18,2.31,3.78,1.47,20.68,0.56%,"$1,558,987",$400,$487
15,13000,2104,O/P Occupational Therapy, Procedures,0.35,451,"1,300",459, 0.35 ,5.63,5.73,102%,0.10,0.98,0.33,-0.65,6.61,0.00%,"$495,881",$388,$382
15,13000,2106,O/P Communication Disorder, Procedures,1.22,315,257,314, 1.23 ,3.94,3.92,100%,-0.02,0.95,0.14,-0.81,4.89,0.00%,"$366,938","$1,424","$1,431"
15,13000,2110,Adaptive Driving, Procedures,2.21,100,40,88, 2.51 ,1.25,1.10,88%,-0.15,0.48,0.00,-0.48,1.73,0.00%,"$129,741","$2,873","$3,252"
15,13000,2135,Outpatient P M and R, Procedures,0.67,383,657,439, 0.58 ,4.79,5.49,115%,0.70,1.54,0.63,-0.91,6.33,0.00%,"$474,422",$827,$722
15,13000,4000,Nursing Administration,Calendar Days,39.11,387,13,0, 29.09 ,4.84,6.50,134%,1.66,1.86,0.79,-1.07,6.70,4.66%,"$519,167","$50,762","$39,035"
15,13000,4002,Staff Development,Calendar Days,11.49,148,13,0, 11.16 ,1.86,1.91,103%,0.05,0.00,0.00,0.00,1.86,38.08%,"$192,156","$10,772","$14,448"
15,13000,4004,Nurse Residents,Calendar Days,2.46,0,13,0, 0.00 ,0.00,0.41,0%,0.41,0.00,4.65,4.65,0.00,0.00%,#DIV/0!,$0,$0
15,13000,4005,Staffing Office,Calendar Days,4.90,98,13,0, 7.34 ,1.22,0.81,67%,-0.41,0.01,0.31,0.30,1.23,22.89%,"$113,207","$4,629","$8,512"
15,13000,4012,Orthomedical Division,Calendar Days,4.57,0,13,0, 0.00 ,0.00,0.76,0%,0.76,0.00,0.10,0.10,0.00,0.00%,#DIV/0!,$0,$0
15,13000,4016,Medical Staff Office,Calendar Days,25.27,183,13,0, 13.79 ,2.29,4.20,183%,1.91,0.00,0.53,0.53,2.29,0.00%,"$171,891","$23,687","$12,924"
15,13000,4019,Case Mangement,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
15,13000,4022,Admissions,Calendar Days,51.49,683,13,0, 51.32 ,8.53,8.56,100%,0.03,0.98,1.95,0.97,9.51,0.09%,"$714,018","$53,814","$53,686"
15,13000,4025,Social Service,Calendar Days,67.67,939,13,0, 70.62 ,11.74,11.25,96%,-0.49,1.22,1.44,0.22,12.96,0.00%,"$972,103","$70,034","$73,090"
15,13000,4030,Food Service,Total Adjusted Adult Days,1.17,"1,806","1,629","1,906", 1.11 ,22.57,23.83,106%,1.25,3.24,3.00,-0.24,25.81,2.02%,"$1,970,123","$1,254","$1,209"
15,13000,4033,Housekeeping,1000 Net Square Feet Cleaned,745.48,"1,416",2,"1,290", 818.62 ,17.70,16.12,91%,-1.58,1.10,1.71,0.61,18.80,4.48%,"$1,469,727","$742,315","$849,553"
15,13000,4046,Security,1000 Sq Ft Patrolled,33.93,318,10,343, 31.40 ,3.97,4.29,108%,0.32,0.00,0.01,0.01,3.97,0.00%,"$297,909","$31,809","$29,438"
15,13000,4049,Telecommunications,Calendar Days,17.64,233,13,0, 17.55 ,2.92,2.93,101%,0.02,0.33,0.04,-0.29,3.25,0.00%,"$243,619","$18,412","$18,317"
15,13000,4067,Business Office,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
15,13000,4068,OP Registration and Admin.,Calendar Days,56.99,905,13,0, 68.02 ,11.31,9.47,84%,-1.83,0.87,0.59,-0.28,12.18,0.07%,"$913,970","$57,540","$68,720"
15,13000,4073,Cashiering,Calendar Days,1.71,30,13,0, 2.29 ,0.38,0.28,75%,-0.10,0.00,0.00,0.00,0.38,0.00%,"$28,500","$1,607","$2,143"
15,13000,4098,Executive Office,Calendar Days,2.49,46,13,0, 3.43 ,0.57,0.41,73%,-0.16,0.38,0.02,-0.36,0.95,0.00%,"$71,250","$3,894","$5,357"
15,13000,4099,Administration,Calendar Days,25.04,186,13,0, 14.00 ,2.33,4.16,179%,1.84,0.72,0.15,-0.57,3.05,0.29%,"$229,072","$30,739","$17,223"
15,13000,4102,Research Planning,Calendar Days,16.41,144,13,0, 10.86 ,1.81,2.73,151%,0.92,0.10,0.05,-0.05,1.91,0.00%,"$142,875","$16,241","$10,742"
15,13000,4108,Marketing,Calendar Days,0.00,15,13,0, 1.14 ,0.19,0.00,0%,-0.19,0.00,0.00,0.00,0.19,0.00%,"$14,250",$0,"$1,071"
15,13000,4109,Development,Calendar Days,9.01,140,13,0, 10.55 ,1.75,1.50,85%,-0.26,0.62,0.18,-0.44,2.37,0.00%,"$178,088","$11,435","$13,390"
15,13000,4110,Human Resources,Calendar Days,16.34,175,13,0, 13.18 ,2.19,2.72,124%,0.53,0.56,0.49,-0.07,2.75,0.00%,"$206,325","$19,239","$15,513"
15,13000,4115,Project Search,Calendar Days,9.70,171,13,0, 12.84 ,2.14,1.61,76%,-0.52,0.09,0.23,0.14,2.23,0.00%,"$166,884","$9,479","$12,548"
15,13000,4116,Project Search,Calendar Days,10.48,224,13,0, 16.86 ,2.80,1.74,62%,-1.06,0.00,0.17,0.17,2.80,0.00%,"$210,188","$9,820","$15,804"
15,13000,4121,Special Events,Calendar Days,3.17,46,13,0, 3.43 ,0.57,0.53,92%,-0.04,0.00,0.00,0.00,0.57,0.00%,"$42,750","$2,973","$3,214"
15,13000,4122,Supply Chain Management,Calendar Days,14.20,172,13,0, 12.93 ,2.15,2.36,110%,0.21,0.46,0.70,0.24,2.61,0.00%,"$195,703","$16,163","$14,715"
15,13000,4124,Health Education,Calendar Days,15.13,274,13,0, 20.57 ,3.42,2.52,74%,-0.90,0.38,0.16,-0.22,3.80,0.00%,"$285,000","$15,759","$21,429"
15,13000,4127,Volunteers,Calendar Days,4.92,53,13,0, 4.00 ,0.67,0.82,123%,0.15,0.29,0.00,-0.29,0.96,0.00%,"$71,625","$6,620","$5,385"
15,13000,4137,Community Services,Calendar Days,3.01,36,13,0, 2.69 ,0.45,0.50,112%,0.05,0.27,0.21,-0.06,0.72,0.00%,"$53,738","$4,532","$4,040"
15,13000,4139,Severence,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
15,13000,4141,O/P Social Services,Calendar Days,0.00,0,13,0, 0.00 ,0.00,0.00,0%,0.00,0.00,0.00,0.00,0.00,0.00%,#DIV/0!,$0,$0
15,13000,4142,O/P Maint Transportation,Calendar Days,15.89,229,13,0, 17.25 ,2.87,2.64,92%,-0.23,0.00,0.05,0.05,2.87,0.00%,"$215,081","$14,900","$16,172"
15,13000,4202,Psychology Services,Calendar Days,50.71,555,13,0, 41.75 ,6.94,8.43,121%,1.49,2.56,1.31,-1.25,9.50,0.06%,"$712,900","$65,073","$53,602"
15,13000,4203,Therapy Scheduling,Calendar Days,17.90,9,13,0, 0.70 ,0.12,2.98,2571%,2.86,0.60,0.46,-0.14,0.72,0.00%,"$53,681","$103,751","$4,036"
15,13000,4204,Therapy Per Diem Resource Pool,Calendar Days,0.00,8,13,0, 0.57 ,0.10,0.00,0%,-0.10,1.60,0.00,-1.60,1.70,0.00%,"$127,125",$0,"$9,558"
15,13000,4210,System Staffing,Calendar Days,0.00,144,13,0, 10.86 ,1.81,0.00,0%,-1.81,0.10,0.00,-0.10,1.91,0.00%,"$142,875",$0,"$10,742"
15,13000,4250,JLL Maintenance,1000 Net Square Feet Maintained,42.64,490,12,513, 40.74 ,6.12,6.41,105%,0.29,0.80,0.65,-0.15,6.92,0.82%,"$522,856","$45,199","$43,499"
15,20000,1001,Mother / Baby Unit,Equivalent Patient Days,21.42,"2,057",68,"1,465", 30.07 ,25.71,18.32,71%,-7.39,7.49,4.52,-2.97,33.20,5.69%,"$2,599,838","$25,937","$38,009"
15,20000,1005,Perinatal Testing Center,Test/Procedures ,0.80,178,216,173, 0.82 ,2.22,2.17,98%,-0.05,0.03,0.22,0.19,2.25,0.00%,"$168,797",$764,$783
15,20000,1007,Intensive Care Nursery,Equivalent Patient Days,19.26,683,18,348, 37.83 ,8.54,4.35,51%,-4.19,1.26,1.18,-0.08,9.80,0.09%,"$735,216","$20,723","$40,732"
15,20000,1009,Telemetry 2,Equivalent Patient Days,11.24,"2,038",202,"2,275", 10.07 ,25.47,28.44,112%,2.97,4.03,7.14,3.11,29.50,3.39%,"$2,277,196","$12,208","$11,254"
15,20000,1014,Intensive Care Unit,Equivalent Patient Days,19.17,"1,653",98,"1,876", 16.89 ,20.66,23.45,114%,2.79,4.86,6.35,1.49,25.52,1.00%,"$1,929,461","$22,204","$19,719"
15,20000,1032,Transitional Care Center,Equivalent Patient Days,7.85,"1,361",181,"1,425", 7.50 ,17.01,17.82,105%,0.80,3.26,2.68,-0.58,20.27,2.74%,"$1,555,536","$8,775","$8,573"
15,20000,1035,Nursing Resource Team,Total Adult Days,0.00,30,"1,963",0, 0.02 ,0.38,0.00,1%,-0.38,1.10,0.03,-1.07,1.48,9.64%,"$113,747",$1,$58
15,20000,1049,One on One Staffing,Total Adult Days,0.14,984,"1,963",265, 0.50 ,12.30,3.31,27%,-8.99,0.01,0.21,0.20,12.31,58.94%,"$1,467,437",$127,$748
15,20000,1051,IV Team,Total Adult Days,0.26,415,"1,963",518, 0.21 ,5.19,6.47,125%,1.28,1.23,0.50,-0.73,6.42,3.28%,"$494,223",$306,$252
15,20000,1060,Medical Surgical 2 North,Equivalent Patient Days,10.31,"1,780",192,"1,978", 9.27 ,22.24,24.72,111%,2.48,3.37,6.13,2.76,25.61,3.72%,"$1,983,191","$11,127","$10,335"
15,20000,1061,Medical Surgical 2 East,Equivalent Patient Days,10.21,"1,756",191,"1,949", 9.20 ,21.95,24.37,111%,2.42,3.43,4.16,0.73,25.38,6.12%,"$2,004,096","$11,066","$10,495"
15,20000,1062,Medical Surgical 3 East,Equivalent Patient Days,9.91,"1,773",199,"1,968", 8.93 ,22.17,24.60,111%,2.44,2.84,7.35,4.51,25.01,3.51%,"$1,933,987","$10,484","$9,741"
15,20000,1064,Medical Surgical 4 West,Equivalent Patient Days,9.64,"1,619",183,"1,767", 8.83 ,20.24,22.09,109%,1.85,4.54,3.84,-0.70,24.78,12.02%,"$2,040,725","$11,062","$11,130"
15,20000,1065,Medical Surgical 4 South,Equivalent Patient Days,10.08,"2,355",267,"2,690", 8.82 ,29.44,33.63,114%,4.18,4.90,6.56,1.66,34.34,4.40%,"$2,672,753","$11,020","$10,012"
15,20000,1066,Medical Surgical 4 East,Equivalent Patient Days,9.74,"1,520",174,"1,694", 8.74 ,19.00,21.17,111%,2.17,3.20,4.90,1.70,22.20,13.67%,"$1,860,012","$10,673","$10,699"
15,20000,1067,Medical Surgical 4C West,Equivalent Patient Days,9.02,"1,370",179,"1,612", 7.67 ,17.12,20.15,118%,3.03,1.96,3.85,1.89,19.08,9.97%,"$1,559,125","$9,429","$8,730"
15,20000,1069,A.M. Flex Unit,Total Adult Days,0.14,283,"1,963",270, 0.14 ,3.54,3.37,95%,-0.17,0.12,0.72,0.60,3.66,5.11%,"$287,978",$133,$147
15,20000,2000,Audiology Services,Test/Procedures ,2.97,200,73,218, 2.74 ,2.51,2.72,109%,0.21,0.38,0.10,-0.28,2.89,0.00%,"$216,422","$3,211","$2,959"
15,20000,2005,Operating Room,OR Hours,7.84,"3,101",473,"3,708", 6.56 ,38.77,46.35,120%,7.59,11.77,8.78,-2.99,50.54,5.16%,"$3,940,082","$9,586","$8,334"
15,20000,2006,Recovery Room,PACU Hours,1.91,909,503,962, 1.81 ,11.36,12.02,106%,0.65,2.29,2.06,-0.23,13.65,3.85%,"$1,056,873","$2,153","$2,101"
15,20000,2009,Surgicenter,OR Hours,1.33,578,473,628, 1.22 ,7.22,7.85,109%,0.63,1.63,1.49,-0.14,8.85,3.52%,"$682,813","$1,526","$1,444"
15,20000,2011,E/R Registration,ER Visits,0.69,846,"1,102",757, 0.77 ,10.57,9.46,90%,-1.11,1.33,0.92,-0.41,11.90,8.93%,"$963,230",$725,$874
15,20000,2012,Emergency Room,ER Visits,2.53,"3,396","1,102","2,792", 3.08 ,42.45,34.89,82%,-7.56,9.57,9.18,-0.39,52.02,13.03%,"$4,316,835","$2,910","$3,917"
15,20000,2021,Wound Healing Center,Visits,1.53,123,112,171, 1.09 ,1.53,2.14,140%,0.61,0.35,0.45,0.10,1.88,0.00%,"$141,141","$1,757","$1,259"
15,20000,2022,Anesthesiology,Test/Procedures ,0.34,113,364,125, 0.31 ,1.41,1.56,111%,0.15,0.52,0.23,-0.29,1.93,6.14%,"$151,496",$440,$416
15,20000,2027,Cancer Registry,Calendar Days,26.19,374,13,0, 28.09 ,4.67,4.35,93%,-0.32,1.22,0.45,-0.77,5.89,0.00%,"$441,741","$30,963","$33,214"
15,20000,2028,Cardiology,Test/Procedures ,0.39,390,901,351, 0.43 ,4.88,4.39,90%,-0.49,0.50,0.67,0.17,5.38,0.66%,"$405,971",$403,$451
15,20000,2032,Cardiac Cath Lab,Test/Procedures ,9.29,"1,124",112,"1,041", 10.03 ,14.05,13.02,93%,-1.03,1.34,1.90,0.56,15.39,6.06%,"$1,217,952","$9,540","$10,865"
15,20000,2033,Mammography Center,Test/Procedures ,0.64,253,356,228, 0.71 ,3.17,2.85,90%,-0.32,0.14,0.19,0.05,3.31,0.00%,"$248,072",$627,$696
15,20000,2037,PM&R TCC,Calendar Days,0.00,307,0,0, 0.00 ,3.83,0.00,0%,-3.83,0.00,0.00,0.00,3.83,3.10%,"$296,353",$0,$0
15,20000,2038,Physical Medicine,Test/Procedures ,0.04,"1,159","32,880","1,454", 0.04 ,14.49,18.17,125%,3.68,2.10,2.30,0.20,16.59,4.99%,"$1,298,775",$47,$40
15,20000,2045,Cardiac Rehabilitation,Test/Procedures ,1.31,119,145,190, 0.82 ,1.49,2.38,159%,0.89,0.18,0.23,0.05,1.67,0.00%,"$125,494","$1,376",$863
15,20000,2047,Respiratory Therapy,Weighted Procedures,0.72,825,"1,065",767, 0.77 ,10.32,9.59,93%,-0.73,1.06,1.39,0.33,11.38,1.28%,"$863,122",$744,$810
15,20000,2048,Pulmonary-Cardio,Test/Procedures ,1.55,56,46,71, 1.22 ,0.69,0.88,127%,0.19,0.76,0.04,-0.72,1.45,2.24%,"$110,276","$3,045","$2,418"
15,20000,2051,Sleep Study,Test/Procedures ,10.74,230,31,337, 7.34 ,2.88,4.21,146%,1.33,0.43,0.39,-0.04,3.31,5.93%,"$260,800","$11,574","$8,319"
15,20000,2052,Neurology,Test/Procedures ,2.01,332,178,357, 1.87 ,4.15,4.46,107%,0.31,0.51,0.92,0.41,4.66,7.64%,"$373,577","$2,116","$2,103"
15,20000,2054,Central Sterile Supply,Adult Discharges,2.83,"1,330",416,"1,179", 3.20 ,16.62,14.74,89%,-1.88,1.16,1.62,0.46,17.78,20.85%,"$1,593,551","$2,843","$3,830"
15,20000,2055,Pharmacy,Total Adult Days,1.17,"1,777","1,963","2,294", 0.91 ,22.21,28.68,129%,6.47,3.22,3.44,0.22,25.43,3.46%,"$1,964,530","$1,255","$1,001"
15,20000,2057,General Radiology,Calendar Days,27.62,363,13,0, 27.32 ,4.54,4.59,101%,0.05,0.76,0.30,-0.46,5.30,2.58%,"$406,443","$30,231","$30,560"
15,20000,2058,Diagnostic Radiology,Test/Procedures ,0.69,917,"1,485","1,025", 0.62 ,11.46,12.81,112%,1.35,2.08,1.37,-0.71,13.54,0.50%,"$1,019,561",$764,$687
15,20000,2059,CAT Scan,Test/Procedures ,0.88,676,936,824, 0.72 ,8.45,10.30,122%,1.86,2.02,0.95,-1.07,10.47,3.89%,"$809,572","$1,023",$865
15,20000,2060,Ultrasound,Test/Procedures ,0.89,438,495,441, 0.88 ,5.47,5.51,101%,0.03,0.45,0.72,0.27,5.92,9.57%,"$483,466",$903,$977
15,20000,2063,Nuclear Medicine,Test/Procedures ,3.05,163,71,217, 2.29 ,2.04,2.72,133%,0.68,0.10,0.26,0.16,2.14,10.03%,"$175,554","$2,999","$2,464"
15,20000,2066,MRI Center,Test/Procedures ,1.34,444,375,502, 1.18 ,5.55,6.28,113%,0.73,0.23,0.91,0.68,5.78,5.40%,"$455,637","$1,307","$1,214"
15,20000,2078,Endoscopy,OR Hours,0.43,141,473,203, 0.30 ,1.77,2.54,144%,0.77,0.10,0.12,0.02,1.87,8.13%,"$150,754",$426,$319
15,20000,2113,OP Diagnostic Radiology,Test/Procedures ,1.63,150,123,200, 1.22 ,1.87,2.50,134%,0.63,0.24,0.25,0.01,2.11,0.99%,"$159,652","$1,728","$1,303"
15,20000,2114,OP Cat Scan,Test/Procedures ,1.41,76,67,95, 1.12 ,0.95,1.19,125%,0.24,0.00,0.39,0.39,0.95,0.00%,"$71,025","$1,319","$1,053"
15,20000,2115,OP Ultrasound,Test/Procedures ,1.15,80,112,129, 0.72 ,1.00,1.61,161%,0.61,0.00,0.04,0.04,1.00,0.00%,"$75,253","$1,080",$671
15,20000,2117,Breast Diagnostic Services,Test/Procedures ,1.24,76,156,193, 0.49 ,0.95,2.41,254%,1.46,0.00,0.00,0.00,0.95,0.00%,"$71,250","$1,162",$457
15,20000,2131,Diabetes Management Program,Test/Procedures ,0.88,157,179,158, 0.88 ,1.96,1.97,101%,0.02,0.00,0.05,0.05,1.96,0.46%,"$147,396",$829,$825
15,20000,2135,Outpatient PM and R,Test/Procedures ,0.05,899,"20,463",964, 0.04 ,11.24,12.05,107%,0.81,1.06,1.66,0.60,12.30,0.00%,"$922,256",$48,$45
15,20000,2136,Pre-Admission Testing,Adult Discharges,1.16,482,416,484, 1.16 ,6.03,6.05,100%,0.02,0.75,0.17,-0.58,6.78,0.83%,"$512,002","$1,226","$1,230"
15,20000,4000,Nursing Administration,Calendar Days,67.80,847,13,0, 63.68 ,10.59,11.27,106%,0.69,1.79,0.93,-0.86,12.38,4.10%,"$960,805","$74,309","$72,241"
15,20000,4002,Staff Development,Calendar Days,32.12,401,13,0, 30.16 ,5.01,5.34,106%,0.33,0.09,0.72,0.63,5.10,0.00%,"$382,819","$30,650","$28,783"
15,20000,4003,Central Transport,Discharges/100,224.00,688,4,932, 165.45 ,8.60,11.65,135%,3.04,1.59,1.48,-0.11,10.19,1.48%,"$774,093","$248,810","$186,080"
15,20000,4004,Nurse Residents,Calendar Days,5.63,52,13,0, 3.91 ,0.65,0.94,144%,0.29,0.10,1.12,1.02,0.75,19.92%,"$65,972","$6,092","$4,960"
15,20000,4019,Case Mangement,Calendar Days,79.28,"1,023",13,0, 76.89 ,12.78,13.18,103%,0.40,1.57,1.99,0.42,14.35,0.00%,"$1,076,513","$83,452","$80,941"
15,20000,4022,Admissions,Calendar Days,10.78,145,13,0, 10.89 ,1.81,1.79,99%,-0.02,0.28,0.64,0.36,2.09,2.69%,"$160,480","$11,665","$12,066"
15,20000,4023,Quality Outcomes,Calendar Days,13.67,205,13,0, 15.43 ,2.57,2.27,89%,-0.29,0.09,0.52,0.43,2.66,0.00%,"$199,125","$13,263","$14,972"
15,20000,4028,Continuing Medical Education,Calendar Days,3.95,39,13,0, 2.91 ,0.48,0.66,136%,0.17,0.28,0.05,-0.23,0.76,0.00%,"$57,291","$5,852","$4,308"
15,20000,4030,Food Service,Total Adjusted Adult Days,1.02,"2,626","2,983","3,042", 0.88 ,32.83,38.03,116%,5.20,5.43,4.65,-0.78,38.26,3.43%,"$2,953,826","$1,114",$990
15,20000,4033,Housekeeping,1000 Net Square Feet Cleaned,170.30,"3,461",22,"3,733", 157.87 ,43.26,46.66,108%,3.40,4.37,4.18,-0.19,47.63,5.62%,"$3,754,285","$175,785","$171,272"
15,20000,4034,Laundry,100 Adjusted Discharges,21.84,152,7,143, 23.24 ,1.91,1.79,94%,-0.12,0.00,0.05,0.05,1.91,0.31%,"$143,395","$20,475","$21,859"
15,20000,4046,Security,1000 Sq Ft Patrolled,28.51,"1,112",41,"1,171", 27.07 ,13.90,14.64,105%,0.74,1.13,0.72,-0.41,15.03,6.42%,"$1,193,932","$28,901","$29,071"
15,20000,4067,Business Office,Calendar Days,12.19,182,13,0, 13.70 ,2.28,2.03,89%,-0.25,0.10,0.14,0.04,2.38,0.00%,"$178,275","$11,927","$13,404"
